Title,Type,Price,Weight,Description
Chobani yogurt,Dairy,$2.49,150,Creamy Greek yogurt
Nature's Own whole wheat bread,Bread,$2.99,680,Whole wheat sliced bread
Driscoll's strawberries,Fruit,$3.99,454,Fresh sweet strawberries
Avocados,Produce,$1.29,170,Ripe green avocados
Hidden Valley ranch dressing,Condiment,$3.49,475,Creamy ranch salad dressing
Barilla spaghetti,Pasta,$1.69,450,Italian-style dry spaghetti
Hebrew National hot dogs,Meat,$4.99,340,Kosher beef hot dogs
Oscar Mayer bacon,Meat,$6.49,340,Sliced pork bacon
Roma tomatoes,Produce,$1.99,280,Fresh Roma tomatoes
Dole bananas,Fruit,$0.59,183,Yellow ripe bananas
Fage Greek yogurt,Dairy,$1.29,170,Thick and tangy yogurt
Kraft cheddar cheese,Dairy,$3.49,315,Shredded cheddar cheese
Pepperidge Farm goldfish crackers,Snacks,$2.98,170,Cheesy fish-shaped crackers
Campbell's tomato soup,Soup,$1.79,425,Classic tomato soup
Quaker oatmeal,Breakfast,$3.49,790,Quick-cooking oats
Tyson chicken breast,Meat,$8.99,454,Boneless skinless chicken
Blue Diamond almonds,Nuts,$6.99,170,Roasted salted almonds
Bounty paper towels,Household,$5.99,110,Absorbent paper towels
Coca-cola,Beverage,$1.99,340,Classic carbonated soda
Oreos,Snacks,$3.49,170,Chocolate sandwich cookies
Lay's potato chips,Snacks,$2.99,170,Classic salty chips
Knorr rice sides,Grains,$1.99,113,Flavored rice mix
Gatorade,Beverage,$1.29,700,Sports hydration drink
Prego pasta sauce,Sauce,$2.79,475,Italian tomato sauce
Tide laundry detergent,Household,$11.99,1850,High-efficiency laundry soap
Birds Eye frozen vegetables,Frozen,$1.99,454,Mixed frozen veggies
Stouffer's lasagna,Frozen meals,$3.99,425,Ready-made beef lasagna
Eggo waffles,Frozen,$2.99,170,Frozen breakfast waffles
Haagen-Dazs ice cream,Frozen,$4.99,475,Premium ice cream
Triscuits,Snacks,$3.49,170,Wheat cracker snacks
Heinz ketchup,Condiment,$2.39,650,Classic tomato ketchup
Nestle chocolate chips,Baking,$2.49,283,Semi-sweet morsels
Jif peanut butter,Spreads,$2.99,680,Creamy peanut spread
Hidden Valley ranch dressing,Condiment,$3.49,475,Creamy ranch salad dressing
Keebler cookies,Snacks,$2.99,170,Assorted cookies
Campbell's chicken noodle soup,Soup,$1.69,425,Chicken noodle soup
Hellmann's mayonnaise,Condiment,$3.99,685,Egg-based mayo
Nature Valley granola bars,Snacks,$2.99,170,Oat-based snack bars
Mott's apple sauce,Fruit,$1.99,113,Smooth apple sauce
Hunt's diced tomatoes,Canned vegetables,$0.99,425,Diced canned tomatoes
Breyers ice cream,Frozen,$4.49,946,Vanilla ice cream
Chips Ahoy cookies,Snacks,$2.99,170,Chocolate chip cookies
Hebrew National hot dogs,Meat,$4.99,340,Kosher beef hot dogs
Kraft macaroni and cheese,Pasta,$0.99,170,Cheesy macaroni
Orville Redenbacher popcorn,Snacks,$2.49,85,Popcorn kernels
Quaker Chewy granola bar,Snacks,$2.79,170,Chewy oat bars
Skippy peanut butter,Spreads,$3.29,700,Creamy or chunky spread
Jif peanut butter,Spreads,$2.99,680,Creamy peanut spread
Campbell's chicken noodle soup,Soup,$1.69,425,Chicken noodle soup
Minute Maid orange juice,Beverage,$3.49,946,Citrus fruit juice
Vanilla almond milk,Dairy,$2.69,946,Plant-based milk
Tostitos tortilla chips,Snacks,$3.49,170,Corn tortilla chips
Ritz crackers,Snacks,$2.99,170,Buttery crackers
Haunted chips,Snacks,$5.99,6,Scary and festive treats perfect for the fall season
Hunt's pasta sauce,Sauce,$1.39,680,Italian-style sauce
Capri Sun juice drink,Beverage,$2.99,200,Fruit-flavored drink
Wilson tennis balls,Sporting goods,$2.99,3,High-bounce tennis balls
Duracell batteries,Electronics,$5.99,4,Long-lasting AA batteries
Dasani water bottles,Beverage,$3.99,700,Bottled purified water
Bounty paper towels,Household,$5.99,110,Absorbent paper towels
Crest toothpaste,Personal care,$2.99,170,Minty fluoride toothpaste
Tide laundry detergent,Household,$11.99,1850,High-efficiency laundry soap
Downy fabric softener,Household,$6.99,260,Liquid fabric softener
Lysol disinfecting wipes,Household,$4.99,80,Antibacterial wipes
Bounce fabric softener,Household,$5.99,260,Softening dryer sheets
Ivory soap,Personal care,$1.29,140,Gentle bar soap
Spooky Cookies,Snacks,0.99,12,Halloween themed cookies
Hikers Delight,Snacks,$5.99,1,Energy bar for hikers
